"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-76.25	13.75	NA	NA	NA	NA	NA
-75.75	13.75	NA	NA	NA	NA	NA
-75.25	13.75	NA	NA	NA	NA	NA
-74.75	13.75	NA	NA	NA	NA	NA
-74.25	13.75	NA	NA	NA	NA	NA
-73.75	13.75	NA	NA	NA	NA	NA
-73.25	13.75	NA	NA	NA	NA	NA
-72.75	13.75	NA	NA	NA	NA	NA
-72.25	13.75	NA	NA	NA	NA	NA
-71.75	13.75	NA	NA	NA	NA	NA
-71.25	13.75	NA	NA	NA	NA	NA
-70.75	13.75	NA	NA	NA	NA	NA
-70.25	13.75	NA	NA	NA	NA	NA
-69.75	13.75	NA	NA	NA	NA	NA
-69.25	13.75	NA	NA	NA	NA	NA
-68.75	13.75	NA	NA	NA	NA	NA
-68.25	13.75	NA	NA	NA	NA	NA
-67.75	13.75	NA	NA	NA	NA	NA
-67.25	13.75	NA	NA	NA	NA	NA
-66.75	13.75	NA	NA	NA	NA	NA
-66.25	13.75	NA	NA	NA	NA	NA
-65.75	13.75	NA	NA	NA	NA	NA
-65.25	13.75	NA	NA	NA	NA	NA
-64.75	13.75	NA	NA	NA	NA	NA
-64.25	13.75	NA	NA	NA	NA	NA
-63.75	13.75	NA	NA	NA	NA	NA
-63.25	13.75	NA	NA	NA	NA	NA
-62.75	13.75	NA	NA	NA	NA	NA
-62.25	13.75	NA	NA	NA	NA	NA
-61.75	13.75	NA	NA	NA	NA	NA
-61.25	13.75	25.47608633	0.536212514	114.2804217	544.3332748	82.81921
-60.75	13.75	NA	NA	NA	NA	NA
-60.25	13.75	NA	NA	NA	NA	NA
-59.75	13.75	NA	NA	NA	NA	NA
-59.25	13.75	NA	NA	NA	NA	NA
-58.75	13.75	NA	NA	NA	NA	NA
-58.25	13.75	NA	NA	NA	NA	NA
-57.75	13.75	NA	NA	NA	NA	NA
-57.25	13.75	NA	NA	NA	NA	NA
-56.75	13.75	NA	NA	NA	NA	NA
-56.25	13.75	NA	NA	NA	NA	NA
-55.75	13.75	NA	NA	NA	NA	NA
-55.25	13.75	NA	NA	NA	NA	NA
-54.75	13.75	NA	NA	NA	NA	NA
-54.25	13.75	NA	NA	NA	NA	NA
-53.75	13.75	NA	NA	NA	NA	NA
-53.25	13.75	NA	NA	NA	NA	NA
-52.75	13.75	NA	NA	NA	NA	NA
-52.25	13.75	NA	NA	NA	NA	NA
-51.75	13.75	NA	NA	NA	NA	NA
-51.25	13.75	NA	NA	NA	NA	NA
-50.75	13.75	NA	NA	NA	NA	NA
-50.25	13.75	NA	NA	NA	NA	NA
-49.75	13.75	NA	NA	NA	NA	NA
-49.25	13.75	NA	NA	NA	NA	NA
-48.75	13.75	NA	NA	NA	NA	NA
-48.25	13.75	NA	NA	NA	NA	NA
-47.75	13.75	NA	NA	NA	NA	NA
-47.25	13.75	NA	NA	NA	NA	NA
-46.75	13.75	NA	NA	NA	NA	NA
