"x"	"y"	"bio.1"	"bio.2"	"bio.3"	"bio.4"	"bio.5"	"bio.6"	"bio.7"	"bio.8"	"bio.9"	"bio.10"	"bio.11"	"bio.12"	"bio.13"	"bio.14"	"bio.15"	"bio.16"	"bio.17"	"bio.18"	"bio.19"
-57.25	-16.75	26.4414219	10.1384886	55.56578931	173.1624804	35.80043974	17.5545213	18.24591844	27.15671881	24.35401075	28.39571066	24.35401075	1295.761627	220.4605723	1.658570577	87.47935261	645.2937433	8.611786596	336.7509495	8.611786596
-53.75	-24.75	20.14927108	10.55113309	58.20502445	309.0424123	28.21608368	10.08855399	18.12752969	23.41131796	16.14125914	23.41131796	16.14125914	1454.443883	238.7665527	28.14398027	67.05898766	668.4881911	101.1181663	668.4881911	101.1181663
-54.75	-0.25	23.97218253	8.387831588	60.32371782	102.216486	33.54858081	19.64388148	13.90469933	23.97552673	25.38780366	25.38780366	22.97887773	1406.768825	295.759682	21.67374223	73.70599342	538.8513293	128.9559813	128.9559813	392.9650409
-62.75	-12.25	25.22357315	10.58911041	55.49110705	150.4898964	35.05866741	15.97613153	19.08253588	25.15851308	24.63862574	26.90345919	24.19369458	1323.919911	214.4548685	2.993259934	72.94841609	555.5090779	24.39614657	358.1671991	385.8474871
-53.75	-0.25	23.63612307	7.894285254	61.70703751	73.49475787	32.27043938	19.47727093	12.79316845	23.69405754	24.58767517	24.58767517	22.88324765	1497.454776	305.1194958	25.2349733	71.2712577	558.8070668	120.2906106	120.2906106	428.7061831
-59.25	-22.25	25.62173281	10.20507488	56.59518543	302.3058689	33.16646565	15.13476419	18.03170146	28.79076355	21.67779009	28.79076355	21.67779009	1132.20045	177.0713074	11.79958114	72.37143296	516.7406233	47.00908898	516.7406233	47.00908898
-59.75	-18.25	25.65715136	9.842161031	57.17884792	208.9430997	33.34267817	16.12973774	17.21294043	27.21181733	22.99036204	27.35203931	22.99036204	1138.332033	188.622415	4.603672166	81.03552101	548.8367738	23.63243417	306.457883	23.63243417
-61.25	-15.25	24.89612581	10.68905798	56.02220813	165.3759163	34.37751981	15.29748292	19.08003689	25.32863668	23.66439386	26.72730556	23.66439386	1221.240975	203.4392144	2.811731495	78.93779817	551.1583391	18.10050337	335.7549539	18.10050337
-57.25	-27.75	20.70609935	10.66093595	50.20467645	414.7502351	30.97104977	9.736103737	21.23494603	25.53286119	15.42199569	25.53286119	15.42199569	1397.306952	182.8431001	43.9347661	45.88864747	509.0465087	142.9183056	509.0465087	142.9183056
-52.25	-8.75	23.47395957	10.00239536	51.82867188	149.03543	34.74063471	15.44167334	19.29896137	23.20597567	22.55579739	25.30956094	22.55579739	2327.341504	385.6840081	1.668308905	84.96289947	1115.29542	12.98113595	480.9923816	12.98113595
-52.25	-7.75	23.41404361	9.616083168	52.38687522	128.8580926	34.11586716	15.75996575	18.35590141	23.07602658	22.78015959	24.97507569	22.78015959	2536.749838	411.6901079	3.087899526	81.62172107	1186.018396	22.93632664	515.0577589	22.93632664
-59.75	-14.25	23.8257441	10.47767453	53.88586552	173.5170295	33.7982042	14.35400593	19.44419827	24.08035824	22.67042862	25.68733982	22.67042862	1344.871402	228.3007424	1.827408164	81.37789848	618.6679555	12.50541845	353.8354219	12.50541845
-46.75	-10.75	24.23849103	8.378085799	54.06263363	156.9684879	32.95259987	17.45560086	15.49699901	24.11164668	22.62780393	26.48551605	22.62780393	1554.54213	339.6625457	1.645624526	107.0014753	903.4950822	7.571964466	193.0823043	7.571964466
-52.25	-7.25	23.23864135	9.383210939	52.46600105	113.0592766	33.58957247	15.70520783	17.88436464	23.01663788	22.51538987	24.60117667	22.51538987	2624.487606	419.9062564	4.57603169	79.49721931	1207.917294	31.81643891	525.3610388	31.81643891
-57.75	-18.75	26.72298862	9.976843803	56.6524315	199.6081746	35.06243726	17.45181837	17.61061889	28.01789896	24.13704772	28.5656784	24.13704772	1226.383279	206.6445804	3.575800644	85.52319863	617.3497161	18.3540453	326.8840942	18.3540453
-47.75	-3.75	23.90625267	8.052588359	59.56503772	74.07765295	31.87590721	18.35692247	13.51898474	23.76083616	23.01950072	24.86015798	23.01950072	2775.818896	566.0035014	26.97407757	81.63206789	1432.132453	170.9877521	238.4764218	170.9877521
-49.25	-23.75	18.0561666	9.714527464	56.14568218	299.9772122	26.03340413	8.731045184	17.30235895	21.27861809	14.06669052	21.27861809	14.06669052	1484.617193	258.9822153	23.68512154	72.16377698	728.4766947	92.24608965	728.4766947	92.24608965
-51.25	-0.25	24.32373592	6.899149174	68.28452586	31.70231241	30.72681317	20.6232808	10.10353237	24.42199143	24.59832635	24.59832635	24.00665405	1932.958909	382.2766055	32.23367566	68.13342709	756.9667577	129.7443036	129.7443036	500.7498542
-40.25	-5.75	24.21689346	7.307373873	59.05466208	114.3889045	31.37788674	19.00397143	12.37391531	23.84035298	25.7358665	25.7358665	22.95742002	1707.63345	376.1003645	7.147881723	105.3170792	904.5837922	52.45632424	52.45632424	57.57639703
-47.75	-9.25	25.71528057	8.26593061	56.49010757	136.3609695	34.69900716	20.06647951	14.63252765	24.97303177	25.12349836	27.79300116	24.97159098	2044.606198	421.3614141	0.971254337	103.4550782	1142.665039	5.707395108	256.7594895	639.4742747
-49.75	-17.75	22.48512479	9.768265863	52.96594818	248.4090167	31.50634269	13.06380329	18.4425394	24.10251423	19.09578937	24.6423215	19.09578937	1278.804012	240.6596878	2.289604688	94.83164244	688.2451965	9.152817928	312.7708378	9.152817928
-46.25	-10.75	23.9947386	8.303831113	54.02588363	160.2428687	32.52156304	17.15146531	15.37009773	23.95491658	22.25017521	26.24038741	22.25017521	1472.692534	326.997327	2.13118199	107.8853414	859.8326783	9.315172442	173.0036374	9.315172442
-56.25	-7.75	23.31305032	9.484085042	53.66929034	91.37578097	33.18690364	15.51555941	17.67134423	23.20538424	22.58455544	24.38721656	22.58455544	2317.328595	358.1849707	4.759473227	71.89142	1014.735631	41.50371162	549.9966238	41.50371162
-56.25	-3.25	24.54868036	7.861159855	61.63768149	74.48066055	32.6019287	19.84810723	12.75382147	24.4147965	23.9556274	25.59121969	23.9556274	2081.354099	292.1631074	34.57793553	58.07434787	766.9661479	211.4086584	353.6817468	211.4086584
-51.25	-6.75	23.3905253	8.948336095	52.65078918	111.3636477	33.26309805	16.26746278	16.99563527	23.0985975	22.76601871	24.72688757	22.76601871	2754.877179	437.0875336	5.656198233	80.39695075	1262.251461	37.273145	502.9670596	37.273145
-50.25	-13.75	25.08559176	9.220458857	54.99363418	178.1537661	34.27839692	17.51198569	16.76641123	25.43620281	22.99207054	27.35777421	22.99207054	1352.000307	264.2520219	0.622869161	99.68948029	747.6044003	2.87292326	262.4938141	2.87292326
-51.75	-5.75	23.2150743	8.460577201	55.10465923	71.08959356	31.76653102	16.41287977	15.35365125	23.11593344	22.52451223	24.10207354	22.52451223	2826.173493	427.4748811	12.84465325	73.04474881	1207.764618	74.6456747	510.8153384	74.6456747
-57.25	-11.25	23.71959373	10.61944063	53.35166501	158.4038156	34.60286212	14.69825253	19.90460959	23.76030322	22.68673444	25.37996178	22.68673444	1728.822565	279.740733	1.259155732	80.0196717	795.5296323	12.57733078	449.2157543	12.57733078
