Sciname,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Premnoplex_tatei,Premnoplex tatei,Furnariidae,Passeriformes,4,2,2,0,1,18.2,10.8,3.1,3.8,21.4,59.5,7.1,52.4,11.9,56,16.3,Inferred,NA,YES,Body Mass,Premnoplex brunnescens,Forest,1,1,Carnivore,Invertivore,Generalist,10.07,10.71,10.25,-63.53296915,1704.97,Extant
Premnornis_guttuligera,Premnornis guttuligera,Furnariidae,Passeriformes,10,2,5,3,3,15.9,9.2,3.2,3.8,19.4,66.7,9.6,56.2,14.6,70.4,15.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-14.33,10.85,-1.63,-74.904077220000005,289937.61,Extant
Pseudocolaptes_boissonneautii,Pseudocolaptes boissonneautii,Furnariidae,Passeriformes,28,10,17,1,1,28,15.1,4.3,5.8,26,105.6,19.9,85.7,18.8,95.2,43.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.78,10.7,-3.16,-74.222358850000006,395920.18,Extant
Pseudocolaptes_johnsoni,Pseudocolaptes johnsoni,Furnariidae,Passeriformes,5,2,3,0,4,24.6,15.5,4.9,6,25.9,106,19.6,87.2,18.3,89.6,51,Inferred,NA,YES,Body Mass,Pseudocolaptes lawrencii,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.69,5.94,2.73,-77.356847000000002,7073.98,Extant
Pseudocolaptes_lawrencii,Pseudocolaptes lawrencii,Furnariidae,Passeriformes,24,6,16,2,4,23.8,14.5,4.3,5.5,25.6,106,21.1,83.9,20.1,98,51,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,8.49,10.4,9.36,-83.12672689,6603.07,Extant
Pseudoseisura_cristata,Pseudoseisura cristata,Furnariidae,Passeriformes,13,3,4,6,4,23.7,17.5,4.6,6.2,28.2,104.8,15.6,88.8,15.7,101.3,53.6,Updated_live.sample,Live sample (museum data),NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Terrestrial,-20.010000000000002,-3.52,-11.27,-41.447434710000003,909279.08,Extant
Pseudoseisura_gutturalis,Pseudoseisura gutturalis,Furnariidae,Passeriformes,8,3,5,0,4,25.9,19.5,5.4,7.6,33.5,102.3,18.3,84,17.9,90.8,70.4,Dunning,NA,NO,NA,NA,Shrubland,3,1,Carnivore,Invertivore,Terrestrial,-49.03,-25.26,-39.57,-67.317800300000002,779615.04,Extant
Pseudoseisura_lophotes,Pseudoseisura lophotes,Furnariidae,Passeriformes,8,4,3,1,4,24.6,17.7,5.3,7.1,33.5,118.5,18.4,100.1,15.6,106.5,72.2,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Terrestrial,-41.05,-18.3,-29.79,-62.209302770000001,1313911,Extant
Pseudoseisura_unirufa,Pseudoseisura unirufa,Furnariidae,Passeriformes,5,0,3,2,2,21.6,15,4.2,6,28.5,98.1,15.5,82.7,15.8,95.5,44.9,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Terrestrial,-21.97,-12.4,-17.02,-58.945027899999999,435035.55,Extant
Pygarrhichas_albogularis,Pygarrhichas albogularis,Furnariidae,Passeriformes,12,2,8,2,4,21.8,15.7,3.2,5.1,19.3,79.9,17.7,61.9,22.2,56.1,24,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-55.98,-32.57,-45.2,-72.274392680000005,470695.91,Extant
