"lon"	"lat"	"cells"	"id"	"bio.1"	"bio.2"	"bio.3"	"bio.4"	"bio.5"	"bio.6"	"bio.7"	"bio.8"	"bio.9"	"bio.10"	"bio.11"	"bio.12"	"bio.13"	"bio.14"	"bio.15"	"bio.16"	"bio.17"	"bio.18"	"bio.19"
-46.90673	-9.09273	5175	19235	25.21647559	7.822972332	55.29660364	141.904185	33.57233869	19.42504606	14.14729263	24.62698221	24.30325871	27.42373386	24.30325871	1956.278721	423.9734353	1.281445599	107.1081767	1118.691463	7.140598955	210.0312078	7.140598955
-50.365131	-5.964287	4426	18571	23.52768434	8.46085035	53.79055308	91.64854185	32.73925344	17.01000385	15.72924959	23.16703541	23.10953916	24.65184158	23.10953916	2938.400955	477.0049749	9.946449605	79.44745143	1278.949133	60.40976553	455.3597684	60.40976553
-57.516131	-19.203376	7273	16910	26.89734355	9.683190911	56.27230669	208.2920932	34.85750801	17.64977035	17.20773766	28.35041662	24.12849572	28.71056751	24.12849572	1213.46639	206.2199107	4.296567436	84.90312115	611.9107273	21.30412139	327.49715	21.30412139
-49.918828	-6.066049	4533	18673	23.9989973	8.287496636	53.6802224	119.8499521	33.3880143	17.94937365	15.43864065	23.33410687	23.95296121	25.35056353	23.33410687	2885.716007	487.2230327	6.035161042	84.29247054	1316.109521	39.14353139	436.1045185	1316.109521
-55.38963	-19.28515	7278	17461	25.16901676	10.14216165	56.0495131	207.6753801	34.15298656	16.05798253	18.09500403	26.44081108	22.41676243	27.07243621	22.41676243	1384.954577	252.3363009	2.966345516	89.82175071	732.26026	16.2444141	357.5811546	16.2444141
-55.553311	-20.510319	7595	17348	24.00790928	10.28498827	56.27074299	245.0344474	32.65343408	14.37575065	18.27768343	25.96519547	20.79303095	25.96519547	20.79303095	1343.846352	240.7979597	6.445760204	85.36448682	693.4008682	29.66895405	693.4008682	29.66895405
-57.836522	-16.566683	6743	16915	26.47828761	10.06556304	55.5279707	172.6357863	35.65861059	17.53159656	18.12701403	27.23880146	24.4030323	28.39766421	24.4030323	1272.435847	215.2244929	1.829185059	86.53670087	626.2922753	9.576760716	332.6177935	9.576760716
-53.856286	-3.209545	3889	17820	24.06780739	7.348402441	63.81793246	50.88295789	31.1059609	19.59132519	11.51463571	24.01534354	23.5486497	24.77356366	23.5486497	2153.902137	333.585227	47.0815349	57.74928237	871.6254806	241.161216	305.1015849	241.161216
-54.234301	-2.869641	3782	17711	24.33214036	7.479281384	63.7635934	58.50574554	31.80133841	20.07163344	11.72970497	24.22752925	25.15960276	25.15960276	23.7701412	1930.445926	333.3616036	43.37927882	58.46679498	789.5286224	256.591399	256.591399	269.014649
-56.16507	-15.698048	6534	17248	25.84003105	9.665788629	54.41066231	172.2372027	35.07254845	17.30803646	17.76451199	26.31210608	23.92084871	27.91733795	23.92084871	1354.536315	230.5828353	0.998108719	88.66436665	676.2851932	5.839748928	351.2783156	5.839748928
-58.534437	-17.000999	6847	16684	26.42916794	9.662297506	55.64079184	184.2264846	34.72053349	17.35504104	17.36549245	27.45739984	24.12887443	28.28645456	24.12887443	1217.688729	204.5739888	2.654907795	84.39145288	591.7229187	14.30764847	321.0885145	14.30764847
-51.85055	-6.561074	4635	18253	23.24221659	9.048001788	52.94338435	103.6762871	33.02914402	15.9391867	17.08995732	23.04655135	22.5119456	24.50084344	22.5119456	2728.005761	428.6446994	6.056853522	78.66193465	1237.980872	40.09159109	518.8969143	40.09159109
-52.70128	-17.288597	6859	18019	22.57280642	10.16838937	55.12480862	214.0106353	31.77818562	13.33206377	18.44612185	23.74449691	19.82054346	24.63397344	19.82054346	1502.463118	274.1377802	1.583714628	93.8943787	804.2635642	7.547905353	364.7522882	7.547905353
-49.363923	-8.015872	4958	18769	25.73636011	8.165723085	58.98131351	133.4274032	34.10486823	20.26027475	13.84459348	24.736586	25.98581132	27.4370212	24.736586	2405.466306	447.6732822	1.284880186	95.02110333	1245.792897	9.007041771	360.1226608	1245.792897
-49.374485	-7.999063	4852	18770	25.53037343	8.014220035	57.81826803	136.883287	34.00431997	20.14326825	13.86105172	24.49272253	25.89757443	27.17228719	24.49272253	2550.557432	462.9798311	1.817909717	93.04677115	1286.897723	12.77116638	376.7905176	1286.897723
-42.791832	-5.070148	4335	19957	26.86601569	7.350739106	58.83572896	151.9714095	34.59443158	22.10076619	12.49366539	25.52279723	26.73513831	29.05841298	25.52279723	2564.476789	579.6713154	2.879822692	108.1425035	1373.16605	43.04425339	88.17782189	1373.16605
-56.861843	-19.91042	7381	17128	26.24211421	9.651894367	55.80104742	214.7803182	34.41537581	17.11839876	17.29697705	27.74153664	23.36412317	28.07880444	23.36412317	1271.506957	224.2526004	4.606471098	86.31469509	655.4219274	22.54226523	341.0407255	22.54226523
-48.473096	-8.041978	4960	18961	26.00730375	7.936136588	57.78902267	141.9639026	34.41695256	20.68400429	13.73294827	24.90972439	26.15220787	27.93919014	24.90972439	2373.752705	463.4078389	1.274749399	99.15278393	1263.346728	8.132043474	307.2085935	1263.346728
-55.612633	-19.506732	7383	17350	25.05730706	10.14722193	56.24029622	218.7793138	33.89255361	15.84993539	18.04261822	26.54881585	22.17625795	26.93228763	22.17625795	1348.492272	244.1874844	4.014077999	88.1437674	706.6984289	20.63836448	355.2982689	20.63836448
-52.661709	-22.163207	7919	18009	22.46786561	11.0271075	57.78856573	283.1792564	31.24268894	12.16087343	19.08181551	25.06814487	18.73437145	25.06814487	18.73437145	1371.164164	251.1964035	9.007305191	84.58013594	719.4802105	39.83047533	719.4802105	39.83047533
-56.040396	-12.909859	5898	17254	23.84499694	10.74182265	53.97315597	167.1623317	34.59863644	14.69647868	19.90215776	23.96016023	22.77437452	25.63468493	22.77437452	1550.465299	266.6385341	0.774864381	85.85356554	747.5021435	5.878120245	389.7485366	5.878120245
-47.78639	-14.165708	6233	19041	23.05006668	8.379366065	51.23713582	202.8767244	31.45341915	15.09933157	16.35408758	23.93242208	20.24158224	25.1348619	20.24158224	1157.949021	228.3236071	2.786358985	101.210121	658.2511225	9.95038496	209.847718	9.95038496
-55.863286	-16.345835	6641	17357	25.43336395	9.877294065	55.11331771	177.0709537	34.81375336	16.89196154	17.92179182	25.99873516	23.38225646	27.50803993	23.38225646	1372.190927	236.2133064	1.048765889	89.91129899	699.9873813	6.038395554	350.4059743	6.038395554
-56.346685	-19.371646	7276	17241	26.09935868	9.836951876	55.57534552	205.5867069	34.73489881	17.03469059	17.70020822	27.38313634	23.34687777	28.00204103	23.34687777	1311.472002	233.8178367	3.37865373	88.22949469	683.6904711	17.70152668	342.7372413	17.70152668
-46.38608	-13.520258	6130	19317	23.62227929	8.174898248	51.47858891	207.4294234	31.3801232	15.49993219	15.88019101	24.75447421	20.63270158	25.38658294	20.63270158	1003.181158	203.2977123	4.165637276	101.2567322	571.8228552	15.0560509	163.8828708	15.0560509
-54.897491	-19.939134	7385	17568	24.25074063	10.30803605	56.16209039	221.1713615	33.24263486	14.88855299	18.35408187	25.73852108	21.36224909	26.13951051	21.36224909	1400.768779	254.7728786	3.610874416	89.21142077	738.6854061	19.24427349	366.7207803	19.24427349
-50.7125	-3.847	4001	18470	23.91238246	7.451159933	60.77464113	52.08343133	31.06225523	18.80194436	12.26031087	23.8432103	23.30869994	24.59690327	23.30869994	2852.333448	482.1579942	40.65901593	68.71704726	1270.344643	200.2623246	343.9191983	200.2623246
-50.518956	-6.729223	4637	18464	23.63937686	8.767188441	53.0707146	117.4585247	33.40264459	16.88282098	16.51982361	23.20151144	23.23777055	25.01295935	23.10526609	2771.03911	447.7561044	4.97488405	82.41022705	1280.773432	33.42905573	481.9846977	974.8519245
-56.194309	-2.503303	3778	17274	24.74968104	7.906425356	61.52212943	76.88942589	33.1281282	20.27677629	12.85135191	24.59533433	24.13026871	25.8436881	24.13026871	1981.90535	303.5312951	33.20077959	58.01007047	752.6479388	242.9276695	323.8546603	242.9276695
-51.059754	-6.531044	4636	18357	23.3905253	8.948336095	52.65078918	111.3636477	33.26309805	16.26746278	16.99563527	23.0985975	22.76601871	24.72688757	22.76601871	2754.877179	437.0875336	5.656198233	80.39695075	1262.251461	37.273145	502.9670596	37.273145
-57.84441	-21.09977	7697	16906	25.88635105	9.853438193	57.21386341	252.6029263	33.45385597	16.2317395	17.22211647	28.16204564	22.51334568	28.16204564	22.51334568	1206.304822	202.0390298	9.233122186	79.64822886	592.8927557	38.18641952	592.8927557	38.18641952
-57.182765	-15.076356	6426	17029	25.78690753	9.858939516	55.15436752	155.3824049	35.10033643	17.22516179	17.87517464	26.18419713	24.07355151	27.6797726	24.07355151	1337.001729	224.9869181	1.098473259	86.19353016	642.9429204	6.627510498	353.9102925	6.627510498
-55.724802	-15.43634	6429	17359	25.02506467	9.660286244	54.42049236	169.6182848	34.24612097	16.49492868	17.75119229	25.42633329	23.24029902	27.07886024	23.24029902	1396.609423	239.8219606	0.809428714	89.24014323	699.4065839	4.974524082	357.2298946	4.974524082
-56.916649	-19.478556	7275	17129	26.45759759	9.725582122	55.69805035	205.0284793	34.8544275	17.39316618	17.46126132	27.77135935	23.71941712	28.33832917	23.71941712	1275.265191	223.8346392	3.616916895	87.2893009	658.4728041	18.52493629	336.8384881	18.52493629
