"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"25","Circaea alpina L. ssp. alpina","1","1778864","Circaea alpina subsp. alpina","1","subspecies","","","","","Onagraceae","Circaea","Circaea","1","alpina","alpina","1","","","","subsp.","alpina","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50896139-1","","Y","Accepted","Circaea alpina subsp. alpina","Circaea alpina","","1778864","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50896139-1","","Onagraceae",1,"1","wcvp","","25",true,true
"26","Hydrocotyle americana L.","1","718655","Hydrocotyle americana","1","species","L.","L.","1","L.","Araliaceae","Hydrocotyle","Hydrocotyle","1","americana","americana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:843379-1","","Y","Accepted","Hydrocotyle americana","Hydrocotyle americana","L.","718655","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:843379-1","","Araliaceae",1,"1","wcvp","","26",true,true
"27","Mitchella repens L.","1","239931","Mitchella repens","1","species","L.","L.","1","L.","Rubiaceae","Mitchella","Mitchella","1","repens","repens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280970-2","","Y","Accepted","Mitchella repens","Mitchella repens","L.","239931","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280970-2","","Rubiaceae",1,"1","wcvp","","27",true,true
"28","Onoclea sensibilis L.","1","1094665","Onoclea sensibilis","1","species","L.","L.","1","L.","Aspleniaceae","Onoclea","Onoclea","1","sensibilis","sensibilis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281589-2","","Y","Accepted","Onoclea sensibilis","Onoclea sensibilis","L.","1094665","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281589-2","","Aspleniaceae",1,"1","wcvp","","28",true,true
"29","Arisaema triphyllum (L.) Schott ssp. triphyllum","0.59957384396743","269721","Arisaema triphyllum","0.59957384396743","species","","","","(L.) Schott","Araceae","Arisaema","Arisaema","1","triphyllum","triphyllum","1","","","","","","","","","","","ssp. triphyllum","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1107169-2","","Y","Accepted","Arisaema triphyllum","Arisaema triphyllum","(L.) Schott","269721","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1107169-2","","Araceae",1,"1","wcvp","[Partial]","29",true,true
"30","Elymus virginicus L.","1","858576","Elymus virginicus","1","species","L.","L.","1","L.","Poaceae","Elymus","Elymus","1","virginicus","virginicus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90367-2","","Y","Accepted","Elymus virginicus","Elymus virginicus","L.","858576","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90367-2","","Poaceae",1,"1","wcvp","","30",true,true
"31","Carex intumescens Rudge","1","342658","Carex intumescens","1","species","Rudge","Rudge","1","Rudge","Cyperaceae","Carex","Carex","1","intumescens","intumescens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300338-1","","Y","Accepted","Carex intumescens","Carex intumescens","Rudge","342658","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300338-1","","Cyperaceae",1,"1","wcvp","","31",true,true
"32","Rubus flagellaris Willd.","1","997430","Rubus flagellaris","1","species","Willd.","Willd.","1","Willd.","Rosaceae","Rubus","Rubus","1","flagellaris","flagellaris","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30083253-2","","Y","Accepted","Rubus flagellaris","Rubus flagellaris","Willd.","997430","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30083253-2","","Rosaceae",1,"1","wcvp","","32",true,true
"33","Thelypteris noveboracensis (L.) Nieuwl.","1","1742778","Thelypteris noveboracensis","1","species","(L.) Nieuwl.","(L.) Nieuwl.","1","(L.) Nieuwl.","Aspleniaceae","Thelypteris","Thelypteris","1","noveboracensis","noveboracensis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252205-2","","Y","Accepted","Thelypteris noveboracensis","Thelypteris noveboracensis","(L.) Nieuwl.","1742778","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252205-2","","Aspleniaceae",1,"1","wcvp","","33",true,true
"34","Lysimachia ciliata L.","1","436929","Lysimachia ciliata","1","species","L.","L.","1","L.","Primulaceae","Lysimachia","Lysimachia","1","ciliata","ciliata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148117-2","","Y","Accepted","Lysimachia ciliata","Lysimachia ciliata","L.","436929","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148117-2","","Primulaceae",1,"1","wcvp","","34",true,true
"35","Parthenocissus quinquefolia (L.) Planch.","1","1622678","Parthenocissus quinquefolia","1","species","(L.) Planch.","(L.) Planch.","1","(L.) Planch.","Vitaceae","Parthenocissus","Parthenocissus","1","quinquefolia","quinquefolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:184091-2","","Y","Accepted","Parthenocissus quinquefolia","Parthenocissus quinquefolia","(L.) Planch.","1622678","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:184091-2","","Vitaceae",1,"1","wcvp","","35",true,true
"36","Athyrium filix-femina (L.) Roth ssp. angustum (Willd.) R.T. Clausen","0.9936528279316","1094946","Athyrium filix-femina subsp. angustum","0.9920660349145","subspecies","(Willd.) R.T. Clausen","(Willd.) R.T.Clausen","1","(Willd.) R.T.Clausen","Aspleniaceae","Athyrium","Athyrium","1","filix-femina","filix-femina","0.91666666666667","","","","subsp.","angustum","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26131-2","","Y","Synonym","Athyrium angustum","Athyrium angustum","(Willd.) C.Presl","1095874","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26101-2","","Aspleniaceae",1,"1","wcvp","","36",true,true
"37","Acer nigrum Michx. f.","0.98788","508275","Acer nigrum","1","species","Michx. f.","F.Michx.","0.9394","F.Michx.","Sapindaceae","Acer","Acer","1","nigrum","nigrum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781415-1","","Y","Synonym","Acer saccharum subsp. nigrum","Acer saccharum","(F.Michx.) Desmarais","508642","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1929-2","","Sapindaceae",1,"1","wcvp","","37",true,true
"38","Rubus pubescens Raf.","1","997680","Rubus pubescens","1","species","Raf.","Raf.","1","Raf.","Rosaceae","Rubus","Rubus","1","pubescens","pubescens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:284431-2","","Y","Accepted","Rubus pubescens","Rubus pubescens","Raf.","997680","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:284431-2","","Rosaceae",1,"1","wcvp","","38",true,true
"39","Pyrola elliptica Nutt.","1","390707","Pyrola elliptica","1","species","Nutt.","Nutt.","1","Nutt.","Ericaceae","Pyrola","Pyrola","1","elliptica","elliptica","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331810-1","","Y","Accepted","Pyrola elliptica","Pyrola elliptica","Nutt.","390707","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331810-1","","Ericaceae",1,"1","wcvp","","39",true,true
"40","Geranium maculatum L.","1","693227","Geranium maculatum","1","species","L.","L.","1","L.","Geraniaceae","Geranium","Geranium","1","maculatum","maculatum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:322491-2","","Y","Accepted","Geranium maculatum","Geranium maculatum","L.","693227","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:322491-2","","Geraniaceae",1,"1","wcvp","","40",true,true
"41","Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.","0.95488","846053","Brachyelytrum erectum","1","species","(Schreb. ex Spreng.) P. Beauv.","(Schreb.) P.Beauv.","0.7744","(Schreb.) P.Beauv.","Poaceae","Brachyelytrum","Brachyelytrum","1","erectum","erectum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1055019-2","","Y","Accepted","Brachyelytrum erectum","Brachyelytrum erectum","(Schreb.) P.Beauv.","846053","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1055019-2","","Poaceae",1,"1","wcvp","","41",true,true
"42","Lycopus uniflorus Michx.","1","226643","Lycopus uniflorus","1","species","Michx.","Michx.","1","Michx.","Lamiaceae","Lycopus","Lycopus","1","uniflorus","uniflorus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449690-1","","Y","Accepted","Lycopus uniflorus","Lycopus uniflorus","Michx.","226643","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449690-1","","Lamiaceae",1,"1","wcvp","","42",true,true
"43","Galium asprellum Michx.","1","959753","Galium asprellum","1","species","Michx.","Michx.","1","Michx.","Rubiaceae","Galium","Galium","1","asprellum","asprellum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:749561-1","","Y","Accepted","Galium asprellum","Galium asprellum","Michx.","959753","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:749561-1","","Rubiaceae",1,"1","wcvp","","43",true,true
