Species	Longitude	Latitude
Quercus_virginiana	-89.00388867	30.67472233
Quercus_virginiana	-89.00388867	30.67472233
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.75276724	30.01202997
Quercus_virginiana	-90.05347233	30.41143533
Quercus_virginiana	-90.05347233	30.41143533
Quercus_virginiana	-90.05347233	30.41143533
Quercus_virginiana	-90.05347233	30.41143533
Quercus_virginiana	-90.05347233	30.41143533
Quercus_virginiana	-90.05347233	30.41143533
Quercus_virginiana	-94.14837852	29.18
Quercus_virginiana	-94.14837852	29.18
Quercus_virginiana	-95.34647447	29.76744865
Quercus_virginiana	-95.34647447	29.76744865
Quercus_virginiana	-95.34647447	29.76744865
Quercus_virginiana	-94.76975393	29.83551962
Quercus_virginiana	-94.73936426	29.83351232
Quercus_virginiana	-94.739177	29.83349372
Hybrid	-96.50603567	29.88137718
Hybrid	-96.50564516	29.88158656
Hybrid	-96.35411938	30.31850835
Hybrid	-96.34685948	30.32264935
Hybrid	-96.3490661	29.86678203
Hybrid	-96.3490661	29.86678203
Quercus_fusiformis	-97.63465474	31.58603165
Quercus_fusiformis	-97.63408679	31.5858651
Quercus_fusiformis	-97.7341849	32.2813837
Quercus_fusiformis	-97.7341849	32.2813837
Quercus_fusiformis	-98.20451897	32.21986757
Quercus_fusiformis	-98.20390474	32.22025883
Quercus_fusiformis	-97.67107177	31.94830296
Quercus_fusiformis	-97.67080891	31.947246
Quercus_virginiana	-99.01114128	29.51746403
Quercus_virginiana	-99.01114128	29.51746403
Quercus_virginiana	-99.01114128	29.51746403
Quercus_virginiana	-99.01114128	29.51746403
Quercus_virginiana	-99.0111795	29.51740226
Quercus_virginiana	-99.00866576	29.55326415
Quercus_virginiana	-98.99141698	29.55891464
Quercus_virginiana	-98.81045513	29.822325
Quercus_virginiana	-98.81048673	29.82537895
Quercus_virginiana	-98.76889505	29.83241388
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_fusiformis	-99.946667	25.285833
Quercus_oleoides	-99.21194	21.572
Quercus_oleoides	-99.2143	21.57426
Quercus_oleoides	-99.21396	21.57506
Quercus_oleoides	-98.58285	22.08508
Quercus_oleoides	-98.58298	22.08513
Quercus_oleoides	-98.58318	22.08514
Quercus_oleoides	-98.58298	22.08519
Quercus_oleoides	-98.58313	22.08525
Quercus_oleoides	-98.5772	22.1255
Quercus_oleoides	-98.57735	22.1257
Quercus_oleoides	-98.57727	22.12601
Quercus_oleoides	-98.57753	22.12613
Quercus_oleoides	-98.57764	22.12697
Quercus_oleoides	-98.57768	22.12713
Quercus_oleoides	-98.57781	22.12763
Quercus_oleoides	-98.57781	22.12763
Quercus_oleoides	-98.57758	22.12764
Quercus_oleoides	-98.58005	22.13088
Quercus_oleoides	-98.58309	22.13131
Quercus_oleoides	-98.58058	22.13143
Quercus_oleoides	-99.06964	23.07109
Quercus_oleoides	-99.06952	23.07116
Quercus_oleoides	-99.06951	23.07134
Quercus_oleoides	-99.06905	23.07313
Quercus_oleoides	-99.06883	23.07336
Quercus_oleoides	-99.06872	23.07374
Quercus_oleoides	-99.06839	23.07581
Quercus_oleoides	-99.06835	23.07598
Quercus_oleoides	-99.06831	23.07607
Quercus_oleoides	-99.06815	23.07634
Quercus_oleoides	-97.58913	22.56472
Quercus_oleoides	-97.58928	22.5649
Quercus_oleoides	-97.58942	22.56522
Quercus_oleoides	-97.58949	22.56597
Quercus_oleoides	-97.58981	22.56692
Quercus_oleoides	-97.58999	22.56744
Quercus_oleoides	-97.58975	22.56918
Quercus_oleoides	-97.58941	22.5693
Quercus_oleoides	-97.58974	22.57002
Quercus_oleoides	-97.58954	22.57017
Quercus_oleoides	-97.52129	23.30101
Quercus_oleoides	-97.52137	23.30118
Quercus_oleoides	-97.52096	23.30119
Quercus_oleoides	-97.52099	23.30129
Quercus_oleoides	-97.52105	23.30136
Quercus_oleoides	-97.52005	23.30137
Quercus_oleoides	-97.51987	23.30143
Quercus_oleoides	-97.51998	23.30146
Quercus_oleoides	-97.52124	23.30151
Quercus_oleoides	-97.51994	23.30164
Quercus_fusiformis	-99.14911	23.35203
Quercus_fusiformis	-99.14911	23.35203
Quercus_fusiformis	-99.14911	23.35203
Quercus_fusiformis	-99.14911	23.35203
Quercus_fusiformis	-99.14911	23.35203
Quercus_fusiformis	-99.14911	23.35203
Quercus_fusiformis	-99.16285	23.37174
Quercus_fusiformis	-99.16285	23.37174
Quercus_fusiformis	-99.12281	23.37551
Quercus_fusiformis	-99.11749	23.40786
Quercus_fusiformis	-99.11749	23.40786
Quercus_fusiformis	-99.08348	23.51186
Quercus_fusiformis	-99.08348	23.51186
Quercus_fusiformis	-99.08348	23.51186
Quercus_fusiformis	-99.08348	23.51186
Quercus_fusiformis	-99.08375	23.51218
Quercus_fusiformis	-99.08375	23.51218
Quercus_fusiformis	-99.07807	23.51669
Quercus_fusiformis	-99.07852	23.51932
Quercus_fusiformis	-99.07852	23.51932
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-98.57465	24.35192
Quercus_fusiformis	-99.55976	25.13588
Quercus_fusiformis	-99.55976	25.13588
Quercus_fusiformis	-99.55976	25.13588
Quercus_fusiformis	-99.55976	25.13588
Quercus_fusiformis	-99.55976	25.13588
Quercus_fusiformis	-99.56468	25.14364
Quercus_fusiformis	-99.56468	25.14364
Quercus_fusiformis	-99.56468	25.14364
Quercus_fusiformis	-99.55769	25.14928
Quercus_fusiformis	-99.55618	25.15296
Quercus_fusiformis	-99.43828	25.17009
Quercus_fusiformis	-100.6137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-100.36137	25.42351
Quercus_fusiformis	-97.906389	22.591389
Quercus_fusiformis	-97.906389	22.591389
Quercus_fusiformis	-97.906389	22.591389
Quercus_fusiformis	-97.906389	22.591389
Quercus_fusiformis	-97.906389	22.591389
Quercus_fusiformis	-97.906389	22.591389
Quercus_fusiformis	-97.906389	22.591389
Quercus_fusiformis	-97.906389	22.591389
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.99078137	22.94273615
Quercus_oleoides	-97.97398167	22.52021123
Quercus_oleoides	-97.97398167	22.52021123
Quercus_oleoides	-97.97398167	22.52021123
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.82762349	22.21255833
Quercus_oleoides	-97.85148133	21.6006667
Quercus_oleoides	-97.85148133	21.6006667
Quercus_oleoides	-97.85148133	21.6006667
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-97.56686499	20.5006496
Quercus_oleoides	-96.8525	20.18777767
Quercus_oleoides	-96.8525	20.18777767
Quercus_oleoides	-96.8525	20.18777767
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-97.15786245	20.01828373
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-96.75456693	19.89275094
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-95.10448772	18.46053121
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-94.14837852	17.93048416
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_oleoides	-95.02061002	17.90991179
Quercus_brandegei	-110.062	23.4953
Quercus_brandegei	-110.0622	23.496
Quercus_brandegei	-110.0621	23.4963
Quercus_brandegei	-110.0616	23.4969
Quercus_brandegei	-110.0614	23.4974
Quercus_brandegei	-110.0621	23.4981
Quercus_brandegei	-110.0626	23.4985
Quercus_brandegei	-110.0631	23.4998
Quercus_brandegei	-110.0632	23.5
Quercus_brandegei	-110.0635	23.5001
Quercus_brandegei	-110.0636	23.5002
Quercus_brandegei	-110.0636	23.5002
Quercus_brandegei	-110.0636	23.5003
Quercus_brandegei	-110.1235	23.6959
Quercus_brandegei	-110.1235	23.6959
Quercus_brandegei	-110.137	23.7039
Quercus_brandegei	-110.1373	23.704
Quercus_brandegei	-110.1377	23.7042
Quercus_brandegei	-110.1385	23.7047
Quercus_brandegei	-110.1388	23.7048
Quercus_brandegei	-110.1388	23.7048
Quercus_brandegei	-110.1387	23.7052
Quercus_brandegei	-110.1332	23.7079
Quercus_brandegei	-110.1478	23.7097
Quercus_brandegei	-110.1556	23.7137
Quercus_brandegei	-110.0172	23.7649
Quercus_brandegei	-110.0164	23.7654
Quercus_brandegei	-110.0167	23.7654
Quercus_brandegei	-110.0148	23.7655
Quercus_brandegei	-110.0159	23.7655
Quercus_brandegei	-110.0152	23.766
Quercus_brandegei	-110.0152	23.766
Quercus_brandegei	-110.0148	23.7661
Quercus_brandegei	-110.0156	23.7664
Quercus_brandegei	-110.0156	23.7665
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.7467	17.2412
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.86655	17.1104
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-88.9864	16.9796
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-86.56900024	15.48099995
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-88.6998572	14.78347257
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
Quercus_oleoides	-87.23838906	14.54831052
