"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","Best_match_overall_score","Best_match_highertaxa","unique_id"
"32","Corylus cornuta Marshall var. cornuta","1","1199239","Corylus cornuta var. cornuta","1","variety","","","","","Betulaceae","Corylus","Corylus","1","cornuta","cornuta","1","","","","var.","cornuta","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001214751","","Y","Synonym","Corylus cornuta","Corylus cornuta","Marshall","916888","species","https://www.worldfloraonline.org/taxon/wfo-0000925296","","Betulaceae","1","1","wfo","",true,true,40
"33","Carex sp.","0.9","1396841","Carex","1","genus","","","","L.","Cyperaceae","Carex","Carex","1","","","","","","","","","","","","","","sp.","https://www.worldfloraonline.org/taxon/wfo-4000006709","","Y","Accepted","Carex","","L.","1396841","genus","https://www.worldfloraonline.org/taxon/wfo-4000006709","","Cyperaceae","1","1","wfo","",true,true,41
"34","Fraxinus americana L.","1","824011","Fraxinus americana","1","species","L.","L.","1","L.","Oleaceae","Fraxinus","Fraxinus","1","americana","americana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000832243","","Y","Accepted","Fraxinus americana","Fraxinus americana","L.","824011","species","https://www.worldfloraonline.org/taxon/wfo-0000832243","","Oleaceae","1","1","wfo","",true,true,42
"35","Rubus flagellaris Willd.","1","997430","Rubus flagellaris","1","species","Willd.","Willd.","1","Willd.","Rosaceae","Rubus","Rubus","1","flagellaris","flagellaris","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001006809","","Y","Accepted","Rubus flagellaris","Rubus flagellaris","Willd.","997430","species","https://www.worldfloraonline.org/taxon/wfo-0001006809","","Rosaceae","1","1","wfo","",true,true,43
"36","Quercus alba L.","1","284468","Quercus alba","1","species","L.","L.","1","L.","Fagaceae","Quercus","Quercus","1","alba","alba","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000289457","","Y","Accepted","Quercus alba","Quercus alba","L.","284468","species","https://www.worldfloraonline.org/taxon/wfo-0000289457","","Fagaceae","1","1","wfo","",true,true,47
"37","Lycopodium clavatum L.","1","1092810","Lycopodium clavatum","1","species","L.","L.","1","L.","Lycopodiaceae","Lycopodium","Lycopodium","1","clavatum","clavatum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001107341","","Y","Accepted","Lycopodium clavatum","Lycopodium clavatum","L.","1092810","species","https://www.worldfloraonline.org/taxon/wfo-0001107341","","Lycopodiaceae","1","1","wfo","",true,true,48
"38","Osmunda cinnamomea L. var. cinnamomea","0.59957384396743","1094527","Osmunda cinnamomea","0.59957384396743","species","","","","L.","Osmundaceae","Osmunda","Osmunda","1","cinnamomea","cinnamomea","1","","","","","","","","","","","var. cinnamomea","https://www.worldfloraonline.org/taxon/wfo-0001109065","","Y","Synonym","Osmundastrum cinnamomeum","Osmundastrum cinnamomeum","(L.) C.Presl","1098738","species","https://www.worldfloraonline.org/taxon/wfo-0001113307","","Osmundaceae","1","1","wfo","[Partial]",true,true,50
"39","Rubus idaeus L.","1","991663","Rubus idaeus","1","species","L.","L.","1","L.","Rosaceae","Rubus","Rubus","1","idaeus","idaeus","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001000827","","Y","Accepted","Rubus idaeus","Rubus idaeus","L.","991663","species","https://www.worldfloraonline.org/taxon/wfo-0001000827","","Rosaceae","1","1","wfo","",true,true,51
"40","Acer saccharum Marshall var. saccharum","1","1064849","Acer saccharum var. saccharum","1","variety","","","","","Sapindaceae","Acer","Acer","1","saccharum","saccharum","1","","","","var.","saccharum","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001078654","","Y","Synonym","Acer saccharum","Acer saccharum","Marshall","508618","species","https://www.worldfloraonline.org/taxon/wfo-0000515026","","Sapindaceae","1","1","wfo","",true,true,56
"41","Rubus hispidus L.","1","997475","Rubus hispidus","1","species","L.","L.","1","L.","Rosaceae","Rubus","Rubus","1","hispidus","hispidus","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001006855","","Y","Accepted","Rubus hispidus","Rubus hispidus","L.","997475","species","https://www.worldfloraonline.org/taxon/wfo-0001006855","","Rosaceae","1","1","wfo","",true,true,57
"42","Prunus serotina Ehrh. var. serotina","1","1004172","Prunus serotina var. serotina","1","variety","","","","","Rosaceae","Prunus","Prunus","1","serotina","serotina","1","","","","var.","serotina","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001013923","","Y","Synonym","Prunus serotina","Prunus serotina","Ehrh.","986919","species","https://www.worldfloraonline.org/taxon/wfo-0000995988","","Rosaceae","1","1","wfo","",true,true,60
"43","Acer nigrum Michx. f.","0.98788","508275","Acer nigrum","1","species","Michx. f.","F.Michx.","0.9394","F.Michx.","Sapindaceae","Acer","Acer","1","nigrum","nigrum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000514679","","Y","Synonym","Acer saccharum subsp. nigrum","Acer saccharum","(F.Michx.) Desmarais","508642","subspecies","https://www.worldfloraonline.org/taxon/wfo-0000515051","","Sapindaceae","1","1","wfo","",true,true,61
"44","Carex blanda Dewey","1","339856","Carex blanda","1","species","Dewey","Dewey","1","Dewey","Cyperaceae","Carex","Carex","1","blanda","blanda","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000344953","","Y","Accepted","Carex blanda","Carex blanda","Dewey","339856","species","https://www.worldfloraonline.org/taxon/wfo-0000344953","","Cyperaceae","1","1","wfo","",true,true,62
"45","Viola sp.","0.9","1419672","Viola","1","genus","","","","L.","Violaceae","Viola","Viola","1","","","","","","","","","","","","","","sp.","https://www.worldfloraonline.org/taxon/wfo-4000040312","","Y","Accepted","Viola","","L.","1419672","genus","https://www.worldfloraonline.org/taxon/wfo-4000040312","","Violaceae","1","1","wfo","",true,true,63
