	Longitude(x)	Latitude(y)	PD	SR	PSVs	SR	vars	aMRD	aMDR	aAGES
130	-109.5	29.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
131	-108.5	29.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
132	-107.5	29.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
133	-106.5	29.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
134	-100.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
135	-99.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
136	-98.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
137	-97.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
138	-96.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
139	-95.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
140	-94.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
141	-93.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
142	-92.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
143	-91.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
144	-90.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
145	-89.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
146	-85.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
147	-84.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
148	-83.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
149	-82.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
150	-81.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
151	-80.5	29.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
152	-115.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
153	-114.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
154	-113.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
155	-112.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
156	-111.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
157	-110.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
158	-109.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
159	-108.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
160	-107.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
161	-106.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
162	-105.5	28.5	0.16939862	1	NA	1	NA	19	12.90772901	0.06630502
163	-99.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
164	-98.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
165	-97.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
166	-96.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
167	-95.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
168	-82.5	28.5	0.16939862	1	NA	1	NA	12	22.62969386	0.021950084
